Team	Mkt O/U	SP+ Rk	SP+ Rtg	RetProd%	Ret Off%	Ret Def%	TARP net	TARP off	TARP def	Collin Proj	Proj−Mkt	6-Win%	SOS Rk	Pool Conf	game_count	game_delta	bye_count	byes	home	road	max_road_streak	cupcakes	sos_proxy	anchor_on_anchor	pod_upside_status
Tennessee	7.5	15	16.0	62	58	65	5.0	0.0	5.0					SEC	12	0	1	9	7	5	1	1	6.9		pending-pod
Texas	9.5	6	23.7	68	73	63	10.5	6.0	4.5					SEC	12	0	1	5	7	5	2	0	7.2		pending-pod
Texas A&M	8.5	9	20.3	65	67	63	8.5	3.5	5.0					SEC	12	0	1	9	7	5	2	1	6.8		pending-pod
Texas State	6.5	89	-5.9	56	70	43	2.0	2.5	-0.5	7.5	1.0			Pac12	13	+1	1	6	7	4	2	1	6.0	wk1 @ Texas(9.5); wk2 vs UTSA(7.5); wk9 @ Boise State(7.5)	pod-loaded
Texas Tech	10.5	7	23.1	65	67	64	11.0	6.0	5.0					Big 12	12	0	1	6	7	5	2	1	6.0		pending-pod
Toledo	7.5	108	-11.5	33	42	25	-9.0	-4.5	-4.5					MAC	12	0	1	9	7	5	1	1	5.1		pending-pod
Troy	6.5	90	-6.0	39	47	32	-4.0	-0.5	-3.5	7.4	0.9			Sun Belt	12	0	1	5	6	6	2	1	5.4		pod-loaded
Tulane	7.5	87	-5.5	40	28	52	-4.5	-4.0	-0.5					AAC	12	0	1	5	6	6	1	0	5.9		pending-pod
Tulsa	5.5	96	-7.6	62	64	60	2.5	0.5	2.0					AAC	12	0	1	9	6	6	2	1	5.6		pending-pod
UAB	3.5	124	-18.1	35	32	38	-3.5	-3.0	-0.5					AAC	12	0	1	8	6	6	1	1	6.4		pending-pod
UCF	5.5	60	2.3	61	61	60	7.0	6.0	1.0					Big 12	12	0	1	7	7	5	2	1	6.3		pending-pod
UCLA	6.5	46	5.1	67	73	61	11.0	6.0	5.0					Big Ten	12	0	1	5	7	5	2	0	6.6		pending-pod
UConn	5.5	107	-11.2	31	25	37	-9.5	-6.0	-3.5					CUSA	12	0	1	7	7	5	2	1	5.7	wk4 @ Miami-OH(7.5); wk9 @ Air Force(7.5); wk11 vs James Madison(8.5); wk12 vs Old Dominion(7.5)	pending-pod
UL Lafayette	7.5	104	-9.1	49	63	35	1.5	3.5	-2.0	8.0	0.5			Sun Belt	12	0	1	9	6	6	1	1	5.0		pod-loaded
UL Monroe	3.5	132	-24.3	51	63	40	3.0	4.0	-1.0	3.0	-0.5			Sun Belt	12	0	1	6	6	6	2	1	5.6		pod-loaded
UMASS	2.5	137	-30.9	46	49	43	0.5	0.5	0.0					MAC	12	0	1	9	6	6	2	2	5.3		pending-pod
UNLV	7.5	59	2.8	40	40	40	-5.0	-3.5	-1.5					MWC	12	0	2	3&8	6	6	3	0	5.9		pending-pod
USC	8.5	13	16.8	65	67	64	6.5	2.5	4.0					Big Ten	12	0	2	7&10	7	5	2	0	7.3		pending-pod
UTEP	3.5	129	-20.5	35	27	43	-2.0	-1.0	-1.0					MWC	12	0	1	8	6	6	2	1	6.1		pending-pod
UTSA	7.5	73	-1.5	54	64	44	3.0	3.0	0.0					AAC	12	0	1	9	6	6	2	1	6.0		pending-pod
Utah	8.5	25	11.9	55	55	55	3.0	2.0	1.0					Big 12	12	0	1	5	7	5	2	1	6.0		pending-pod
Utah State	4.5	97	-7.7	48	40	55	-3.5	-3.0	-0.5	4.5	0.0			Pac12	13	+1	1	7	6	6	2	2	6.2	wk5 @ Boise State(7.5)	pod-loaded
Vanderbilt	5.5	31	10.0	44	38	49	-3.0	-2.0	-1.0					SEC	12	0	1	9	7	5	2	1	6.8		pending-pod
Virginia	7.5	40	6.6	59	55	62	0.5	-1.5	2.0					ACC	12	0	2	1&10	8	4	1	1	6.1		pending-pod
Virginia Tech	6.5	32	9.4	69	71	67	10.0	6.0	4.0					ACC	12	0	1	9	6	6	2	1	6.8		pending-pod
Wake Forest	5.5	58	3.6	53	45	61	-0.5	-0.5	0.0					ACC	12	0	1	8	6	6	2	1	6.6		pending-pod
Washington	7.5	21	14.5	65	69	61	3.5	3.0	0.5					Big Ten	12	0	1	8	7	5	2	1	6.9		pending-pod
Washington State	4.5	85	-5.3	42	48	36	-4.0	-1.5	-2.5	5.1	0.6			Pac12	13	+1	1	10	6	6	2	2	6.3		pod-loaded
West Virginia	5.5	66	0.8	52	57	46	3.0	6.0	-3.0					Big 12	12	0	1	9	7	5	2	1	6.9		pending-pod
Western Kentucky	6.5	86	-5.3	32	37	26	-5.0	-1.5	-3.5					CUSA	12	0	1	8	5	7	3	1	6.3		pending-pod
Western Michigan	7.5	95	-7.2	51	60	42	-1.5	1.0	-2.5					MAC	12	0	1	10	6	6	2	1	5.9		pending-pod
Wisconsin	6.5	61	1.8	59	61	57	11.0	6.0	5.0					Big Ten	12	0	1	6	6	6	2	1	6.6		pending-pod
Wyoming	5.5	106	-9.6	40	43	36	-3.0	0.0	-3.0					MWC	12	0	1	9	6	6	2	1	5.7		pending-pod
